Species,scheme,dpsi,inst,source,genus,species,subsp,ID,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.,P50,b,acclimation,K.scale,alpha,gamma
Pinus sylvestris,CGAIN,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608,0.75,60.23,25.02,20,5.6,603,Pinus_sylvestris,35.201376787028686,-3.09,-2.62,-3.789805250968344,69.3,0.7803654851674279,2.7718282000929387e-4,6.258843445304006e-4,54.158582970008794,-3.089999985008403,5.476800065869867,TRUE,0.13964407806982654,0.1,10.251163975682452
Pinus sylvestris,CGAIN,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608,0.75,60.23,25.02,20,5.6,603,Pinus_sylvestris,35.201376787028686,-3.09,-2.62,-3.789805250968344,69.3,0.7803654851674279,2.7718282000929387e-4,6.258843445304006e-4,54.158582970008794,-3.089999985008403,5.476800065869867,FALSE,0.17791850456626276,NA,4.112843561648274
