Species,scheme,dpsi,inst,source,genus,species,subsp,Height.max..m.,P88..MPa.,P50..MPa.,Huber.value,KL..kg.m.1.MPa.1.s.1.,Slope,SLA..cm2.g.1.,P12..MPa.,Ks..kg.m.1.MPa.1.s.1.,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,P50,b,acclimation,K.scale,alpha,gamma
Cedrus atlantica,PROFITMAX,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,11.901282333333338,-5.582243377574428,-3.857351105607368,3.8742000237047787e-4,0.22841307811709746,30.96741064818788,95.36831411781617,-2.4773143531234068,1.5071147171862007,0.25,44.0833333333333,3.03333333333333,650,12.15,736.2,-3.857351127914784,3.024953963555639,TRUE,0.09227668122454762,0.1,NA
Cedrus atlantica,PROFITMAX,FALSE,TRUE,Grieu et al. (1988),Cedrus,atlantica,NA,11.901282333333338,-5.582243377574428,-3.857351105607368,3.8742000237047787e-4,0.22841307811709746,30.96741064818788,95.36831411781617,-2.4773143531234068,1.5071147171862007,0.25,44.0833333333333,3.03333333333333,650,12.15,736.2,-3.857351127914784,3.024953963555639,FALSE,0.1521326832937028,NA,NA
