Species,scheme,dpsi,inst,source,genus,species,subsp,ID,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,P50,b,acclimation,K.scale,alpha,gamma
Cinnamomum bodinieri,SOX,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Cinnamomum_bodinieri,16,-1.44701204547495,-0.804975031321829,-2.26236152137308,64.1326263694901,-1.447012049137077,2.5017504309420255,TRUE,3.4611965811930308,0.1,NA
Cinnamomum bodinieri,SOX,FALSE,FALSE,Liu et al. (2010),Cinnamomum,bodinieri,NA,1616,NA,26.4333333333333,106.683333333333,1147,15.605,1081.44,Cinnamomum_bodinieri,16,-1.44701204547495,-0.804975031321829,-2.26236152137308,64.1326263694901,-1.447012049137077,2.5017504309420255,FALSE,4.996643081033265,NA,NA
