Species,scheme,dpsi,inst,source,genus,species,subsp,ID,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.,P50,b,acclimation,K.scale,alpha,gamma
Pseudotsuga menziesii,PHYDRO,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600,0.25,46.5833333333333,-121.833333333333,300,6.25,2238,Pseudotsuga_menziesii,75.53402388007551,-4.82,-2.7,-5.869318492629994,34,0.44875833664218573,4.132796046897893e-5,4.1417503064723786e-4,38.091798695922634,-4.820000036640776,5.676417437895616,TRUE,0.04745765574891368,0.1,0.10739298664518242
Pseudotsuga menziesii,PHYDRO,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600,0.25,46.5833333333333,-121.833333333333,300,6.25,2238,Pseudotsuga_menziesii,75.53402388007551,-4.82,-2.7,-5.869318492629994,34,0.44875833664218573,4.132796046897893e-5,4.1417503064723786e-4,38.091798695922634,-4.820000036640776,5.676417437895616,FALSE,0.06286907437220667,NA,0.024497367276004295
