Species,scheme,dpsi,inst,source,genus,species,subsp,Height.max..m.,P88..MPa.,P50..MPa.,Huber.value,KL..kg.m.1.MPa.1.s.1.,Slope,SLA..cm2.g.1.,P12..MPa.,Ks..kg.m.1.MPa.1.s.1.,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,P50,b,acclimation,K.scale,alpha,gamma
Limonium gibertii,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,3.5,-2.42,-1.56,1.3445909793333323e-4,0.005814841734000088,44.18604651,99.13908176878036,-0.71,0.31,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,-1.56000001101097,2.546344568829522,TRUE,0.6774279500983091,0.1,NA
Limonium gibertii,PROFITMAX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,3.5,-2.42,-1.56,1.3445909793333323e-4,0.005814841734000088,44.18604651,99.13908176878036,-0.71,0.31,NA,39.4666666666667,2.51666666666667,100,17.75,562.21,-1.56000001101097,2.546344568829522,FALSE,0.9466697347987792,NA,NA
