Species,Source,Drydown days,week,Predawn LWP (MPa),A (umol m-2 s-1),gC (mol m-2 s-1),vcmax_obs,jmax_obs,ca (ppm),D (unitless - Pa / Pa(atm)),T (deg C),C3 / C4,Ht of seedlings,Iabs in measurement chamber (liCor) (umol m-2 s-1),Iabs growth in growth chamber (umol m-2 s-1),Iabs_measurement Comments,Iabs_growth Comment
Quercus ilex,Peguero-Pina et al. (2009),12,,-3.55,2.19,0.0482,,,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,,-2.59,3.93,0.086,,,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,,-1.68,5.96,0.1191,,,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,,-0.12,12.85,0.2083,,,350,0.02,30,3,,1300,1300,,
Quercus ilex,Peguero-Pina et al. (2009),12,,-4.26,0.97,0.0373,,,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,,-0.47,14.54,0.2808,,,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,,-4.74,2.22,0.0395,,,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,,-4.12,2.22,0.039,,,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,,-1.76,11.3,0.1905,,,350,0.02,30,3,,1300,1300,,
Quercus suber,Peguero-Pina et al. (2009),12,,-2.84,8.21,0.118,,,350,0.02,30,3,,1300,1300,,
Pinus sylvestris,Salmon et al. (2020),42,W2,-0.362,0.99,0.006,,,400,0.01644,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W2,-0.533,0.21,0.007,,,400,0.01719,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W5,-0.905,0.36,0.009,,,400,0.0175,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W5,-0.744,1.31,0.007,,,400,0.01846,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W5,-0.861,1.21,0.006,,,400,0.02006,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W6,-1.401,,0.002,,,400,0.0148,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W6,-1.832,0.29,0.012,,,400,0.01464,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W6,-1.853,0.77,0.005,,,400,0.01475,20,3,0.75,800,800,,
Picea abies,Salmon et al. (2020),42,W2,-1.155,1.27,0.006745,,,400,0.01061,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W2,-1.15,3.84,0.029195,26.19,35.91,400,0.01455,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W3,-0.88,0.91,0.00374,48.45,51.09,400,0.0148,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W3,-2.635,0.29,0.004355,,,400,0.01499,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-2.942,0.13,0.000895,,,400,0.01449,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-1.906,0.4,0.01097,4.21,8.2,400,0.01453,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W0,-0.485,6.07,,,,400,0.01308,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W6,-3,0.22,,,,400,0.0142,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-3.9,,,,,400,,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W0,-0.485,6.07,0.050645,31.08,63.67,400,0.01373,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W0,-0.48,2.85,0.023675,,,400,0.01618,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W0,-0.62,4.67,0.043535,28.46,46.75,400,0.01683,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W0,-0.74,4.08,0.029175,31.19,58.28,400,0.01377,20,3,0.57,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,-1.188,9.56,0.14469,45.13,73.95,400,0.01185,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,-1.126,9.97,0.13322,44.36,80.9,400,0.01203,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,-1.365,7.03,0.05271,,,400,0.01297,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,-1.182,6.67,0.09596,27.09,52.13,400,0.0129,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,,6.36,0.09116,33.61,57.71,400,0.01319,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-0.945,4.74,0.06725,26.79,37.97,400,0.01302,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-1.323,3.33,0.04564,18.87,31.26,400,0.01325,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-0.84,11.15,0.22167,53.2,76.15,400,0.00971,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-0.358,8.89,,55.44,79.93,400,0.0142,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-0.358,10,,55.86,74.26,400,0.01243,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-1.028,15.55,,,,400,0.01174,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-3.27,0.22,0.00404,,,400,0.01457,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-3.31,0.33,0.0134,,,400,0.01468,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-1.58,4.84,0.0497,25.66,51.31,400,0.01404,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-0.358,8.89,0.10455,,,400,0.0142,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-0.358,10,0.15322,,,400,0.01243,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W0,-0.74,11.05,0.17457,55.24,95.64,400,0.01192,20,3,0.98,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.938,2.37,0.016,29.04,40.44,400,0.01713,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.925,4.49,0.0261,44.88,78.56,400,0.01353,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.728,6.46,0.1168,32.49,56.77,400,0.01468,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.536,1.98,0.0142,17.12,37.32,400,0.01512,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.48,3.08,0.0296,24.27,47.47,400,0.01475,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.475,3.17,0.0284,20.32,40.95,400,0.01465,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W2,-0.735,5.05,0.0458,33.96,59.42,400,0.01655,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W2,-0.71,3.33,0.022,26.03,49.22,400,0.0158,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W2,-0.858,3.51,0.0218,28.13,47.46,400,0.01513,20,3,0.55,800,800,,
Quercus petraea,Epron and Dreyer (1990),20,,-5.72164948453608,-0.241935483870968,0.00336134453781513,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-3.18556701030928,-0.241935483870968,0.00201680672268908,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-2.87628865979381,-0.338709677419355,0.00336134453781513,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.958762886597938,2.08064516129032,0.0127731092436975,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.958762886597938,5.66129032258065,0.0322689075630252,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.154639175257731,6.91935483870968,0.0490756302521008,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.185567010309278,7.01612903225806,0.0517647058823529,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-2.47422680412371,1.69354838709677,0.0100840336134454,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-2.25773195876289,1.01612903225806,0.00672268907563025,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-1.48453608247423,4.5,0.0295798319327731,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-1.36082474226804,2.46774193548387,0.0154621848739496,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-1.17525773195876,2.75806451612903,0.0215126050420168,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-1.17525773195876,2.37096774193548,0.0194957983193277,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.77319587628866,2.85483870967742,0.0302521008403361,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.587628865979381,2.37096774193548,0.0295798319327731,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.371134020618556,7.59677419354839,0.0598319327731093,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.247422680412371,6.62903225806452,0.0484033613445378,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.68041237113402,4.88709677419355,0.0403361344537815,,,350,0.008,22,3,,400,300,,
Quercus petraea,Epron and Dreyer (1990),20,,-0.587628865979381,5.2741935483871,0.0450420168067227,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.62886597938144,3.456,0.0284745762711864,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.5979381443299,2.976,0.023728813559322,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-1.39175257731959,6.528,0.0705084745762712,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.463917525773196,5.952,0.0732203389830509,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-4.51546391752577,-0.096,0.00203389830508475,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-3.98969072164948,-0.384,0.00610169491525424,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-3.98969072164948,-0.576,0.00135593220338983,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.22680412371134,1.056,0.00949152542372882,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.01030927835052,3.168,0.0196610169491525,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-1.08247422680412,5.856,0.0705084745762712,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.618556701030927,2.4,0.0230508474576271,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.463917525773196,4.896,0.0542372881355932,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.34020618556701,6.432,0.0711864406779661,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.78350515463918,4.128,0.0230508474576271,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.72164948453608,1.152,0.0128813559322034,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-2.38144329896907,2.784,0.0189830508474576,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.587628865979381,6.048,0.0345762711864407,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.371134020618556,5.76,0.031864406779661,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.34020618556701,4.608,0.0406779661016949,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.216494845360825,4.992,0.0813559322033898,,,350,0.008,22,3,,400,300,,
Quercus pubescens,Epron and Dreyer (1990),20,,-0.247422680412371,8.448,0.0874576271186441,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-3.4639175257732,0.768,0.00470588235294118,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-1.42268041237113,9.696,0.0584873949579832,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-5.04123711340206,0.48,0.0026890756302521,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-3.18556701030928,1.92,0.00672268907563025,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-3.15463917525773,1.92,0.00873949579831933,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-2.84536082474227,2.592,0.0121008403361345,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-2.65979381443299,1.536,0.00739495798319328,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-0.989690721649485,9.792,0.0578151260504202,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-0.835051546391752,11.616,0.0860504201680672,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-0.185567010309278,9.888,0.0847058823529412,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-1.94845360824742,4.704,0.0174789915966387,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-1.54639175257732,8.448,0.0436974789915966,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-0.494845360824742,10.752,0.0988235294117647,,,350,0.008,22,3,,400,300,,
Quercus ilex,Epron and Dreyer (1990),20,,-0.309278350515464,9.6,0.0840336134453782,,,350,0.008,22,3,,400,300,,
Broussonetia papyrifera,Liu et al. (2010),20,,-0.925233644859812,9.18771175976687,0.0928235678442121,,,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Broussonetia papyrifera,Liu et al. (2010),20,,-0.813084112149532,8.80367461846199,0.0920119826498854,,,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera,Liu et al. (2010),20,,-0.775700934579438,9.26474045537609,0.09699719149554,,,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera,Liu et al. (2010),20,,-1.18691588785047,5.31207586309081,0.0339589704267657,,,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera,Liu et al. (2010),20,,-1.26168224299065,2.62187978465944,0.0177936225624087,,,360,0.021,28,3,,1500,1000,,
Broussonetia papyrifera,Liu et al. (2010),20,,-1.44859813084112,0.919642416160414,0.00647907006288515,,,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.29906542056075,5.71984435797665,0.0600649350649352,,,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.07476635514019,5.99221789883269,0.0681818181818182,,,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.11214953271028,6.1011673151751,0.0592532467532468,,,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.29906542056075,3.10505836575876,0.0381493506493508,,,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.52336448598131,1.30739299610894,0.0227272727272727,,,360,0.021,28,3,,1500,1000,,
Cinnamomum bodinieri,Liu et al. (2010),20,,-1.85981308411215,0.326848249027236,0.0121753246753246,,,360,0.021,28,3,,1500,1000,,
Platycarya longipes,Liu et al. (2010),20,,-1.2746457642448,7.13492399271904,0.061722342439816,,,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Platycarya longipes,Liu et al. (2010),20,,-1.45408501658125,6.53337924927436,0.0729949959426561,,,360,0.021,28,3,,1500,1000,,
Platycarya longipes,Liu et al. (2010),20,,-1.1463973470003,6.39136124366607,0.0587841493102516,,,360,0.021,28,3,,1500,1000,,
Platycarya longipes,Liu et al. (2010),20,,-1.63985529092553,2.34460569685641,0.0209561806870437,,,360,0.021,28,3,,1500,1000,,
Platycarya longipes,Liu et al. (2010),20,,-2.26789267410311,1.30516062380086,0.00888558290505825,,,360,0.021,28,3,,1500,1000,,
Platycarya longipes,Liu et al. (2010),20,,-2.9856496834489,0.594244108820774,0.00566675682986212,,,360,0.021,28,3,,1500,1000,,
Pyracantha fortuneana,Liu et al. (2010),20,,-1.30479348809165,9.33333333333333,0.145464126997925,,,360,0.021,28,3,,1500,1000,,
Pyracantha fortuneana,Liu et al. (2010),20,,-1.19264395538137,9.71171171171171,0.133388974606934,,,360,0.021,28,3,,1500,1000,,
Pyracantha fortuneana,Liu et al. (2010),20,,-1.57265601447091,10.2162162162162,0.17008505101431,,,360,0.021,28,3,,1500,1000,,
Pyracantha fortuneana,Liu et al. (2010),20,,-1.94648779017184,6.81081081081081,0.074321167407343,,,360,0.021,28,3,,1500,1000,,
Pyracantha fortuneana,Liu et al. (2010),20,,-2.39508592101296,4.41441441441441,0.0373031955928851,,,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Pyracantha fortuneana,Liu et al. (2010),20,,-2.69415134157371,2.01801801801802,0.0147745917225343,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-1.11214953271028,5.89620150515729,0.0563704716336297,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-1.22429906542056,6.27915624165587,0.073421052631579,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-1.22429906542056,4.79164153126514,0.0624641148325358,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-1.63551401869159,2.6041198983376,0.0161978810663022,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-2.23364485981308,0.744726510349182,0.0113277511961724,,,360,0.021,28,3,,1500,1000,,
Pteroceltis tatarinowii,Liu et al. (2010),20,,-3.39252336448598,0.143019610557857,0.00564593301435434,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-1.078,8.236,0.0626375,,,360,0.021,28,3,,1500,1000,"Growth conditions = 900-1300 on hill, 1000 in glasshouse",
Rosa cymosa,Liu et al. (2010),20,,-1.436,4.616,0.0329125,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-1.378,9.482,0.10325,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-2.344,5.684,0.0457375,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-2.658,3.18,0.0238875,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-3.88,1.626,0.0140875,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-1.446,8.454,0.0785,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-1.77,6.146,0.0431,,,360,0.021,28,3,,1500,1000,,
Rosa cymosa,Liu et al. (2010),20,,-2.142,3.652,0.016725,,,360,0.021,28,3,,1500,1000,,
Ficus tikoua,Liu et al. (2011),120,,-0.955,8.983,0.16125,,,360,0.021,28,3,,1500,1100,Growth PPFD = 300-1100 ,
Ficus tikoua,Liu et al. (2011),120,,-1.286,5.737,0.083125,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.677,4.028,0.06143125,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-2.043,1.0451,0.02564375,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-0.828,9.658,0.17125,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.184,6.305,0.0896875,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.442,4.543,0.0664875,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.887,1.647,0.03265625,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-0.933,9.263,0.165375,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.235,6.281,0.0946875,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.77,4.467,0.06424375,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-2.102,1.3282,0.04130625,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-0.812,8.916,0.1571875,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.269,6.173,0.091625,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-1.89,3.597,0.06946875,,,360,0.021,28,3,,1500,1100,,
Ficus tikoua,Liu et al. (2011),120,,-2.316,1.2362,0.0334375,,,360,0.021,28,3,,1500,1100,,
Pinus sylvestris,Salmon et al. (2020),42,W0,,2.06,0.00866,,,400,0.01527,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W2,-0.236,4.33,0.05589,,,400,0.0181,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W2,-0.53,6.47,0.0592,,,400,0.02113,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W5,-0.282,8.33,0.09282,,,400,0.01397,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W6,-0.473,8.41,0.09472,,,400,0.01334,20,3,0.75,800,800,,
Pinus sylvestris,Salmon et al. (2020),42,W6,-0.382,7.07,0.08879,,,400,0.01456,20,3,0.75,800,800,,
Picea abies,Salmon et al. (2020),42,W2,-0.57,3.55,0.0362,,,400,0.01412,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W2,-0.636,3.32,0.0268,,,400,0.01368,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W3,-0.445,2.41,0.0184,,,400,0.01054,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W3,-0.282,2.73,0.0204,,,400,0.01012,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-0.768,3.91,0.0463,,,400,0.01413,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-0.87,5.11,0.0593,,,400,0.01428,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W6,-0.48,2.23,,,,400,0.01384,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W6,-0.27,3.8,0.0272,,,400,0.01347,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-0.4,2,0.0917,,,400,0.01209,20,3,0.57,800,800,,
Picea abies,Salmon et al. (2020),42,W5,-0.25,3.36,0.0301,,,400,0.01383,20,3,0.57,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,-0.191,4.75,0.05952,,,400,0.01092,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W1,0,8.72,0.16027,,,400,0.01006,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-0.958,7.71,0.0976,,,400,0.01535,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-0.11,5.55,0.06449,,,400,0.01363,20,3,0.98,800,800,,
Populus tremula,Salmon et al. (2020),21,W2,-0.28,6.34,0.06056,,,400,0.01378,20,3,0.98,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.692,6.99,0.06494,,,400,0.0133,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.349,4.81,0.05749,,,400,0.01436,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W1,-0.556,7.56,0.12359,,,400,0.01332,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W2,-0.36,5.26,0.06527,,,400,0.0144,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W3,-0.505,5.2,0.06315,,,400,0.01357,20,3,0.55,800,800,,
Betula pendula,Salmon et al. (2020),28,W3,-0.35,4.88,0.04596,,,400,0.01379,20,3,0.55,800,800,,
Helianthus annuus,Tezara et al. (2008),12,,-3.043010753,0.665459732,0.019937695,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.76344086,1.773644942,0.019937695,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.752688172,1.058810621,0.069781931,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.634408602,4.114000439,0.019937695,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.623655914,1.052227343,0.069781931,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.47311828,2.881281545,0.044859813,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-2.215053763,0.929339478,0.019937695,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-1.935483871,5.506912442,0.064797508,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-1.795698925,3.356923415,0.044859813,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-1.107526882,9.138139127,0.074766355,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-1.107526882,7.403445249,0.144548287,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.698924731,20.95402677,0.323987539,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.698924731,17.17851657,0.368847352,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.634408602,10.1344086,0.174454829,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.559139785,23.70199693,0.259190031,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.559139785,23.08975203,0.269158879,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.559139785,19.41628264,0.762616822,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.215053763,29.70484968,0.618068536,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.215053763,26.74566601,1.046728972,,,360,0.00815,20,3,,1100,700,,
Helianthus annuus,Tezara et al. (2008),12,,-0.215053763,22.25587009,1.221183801,,,360,0.00815,20,3,,1100,700,,
