Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Limonium magallufianum,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Malva subovata,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Phlomis italica,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pistacia lentiscus,PROFITMAX2,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Populus tremula,PROFITMAX2,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Beta maritima subsp. marcosii,SOX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,SOX,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,SOX,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
Cistus albidus,SOX,FALSE,TRUE,Galmes et al. (2007),Cistus,albidus,NA,1624
Diplotaxis ibicensis,SOX,FALSE,TRUE,Galmes et al. (2007),Diplotaxis,ibicensis,NA,1630
Hypericum balearicum,SOX,FALSE,TRUE,Galmes et al. (2007),Hypericum,balearicum,NA,1627
Limonium gibertii,SOX,FALSE,TRUE,Galmes et al. (2007),Limonium,gibertii,NA,1626
Limonium magallufianum,SOX,FALSE,TRUE,Galmes et al. (2007),Limonium,magallufianum,NA,1625
Malva subovata,SOX,FALSE,TRUE,Galmes et al. (2007),Malva,subovata,NA,1629
Phlomis italica,SOX,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,SOX,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pistacia lentiscus,SOX,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Populus tremula,SOX,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Beta maritima subsp. marcosii,SOX2,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,marcosii,1631
Beta maritima subsp. maritima,SOX2,FALSE,TRUE,Galmes et al. (2007),Beta,maritima,maritima,1632
Betula pendula,SOX2,FALSE,TRUE,Salmon et al. (2020),Betula,pendula,NA,1610
