Species,scheme,dpsi,inst,source,genus,species,subsp,ID
Olea europaea var. Meski,CMAX,FALSE,TRUE,Ennajeh et al. (2008),Olea,europaea,Meski,1634
Phlomis italica,CMAX,FALSE,TRUE,Galmes et al. (2007),Phlomis,italica,NA,1628
Picea abies,CMAX,FALSE,TRUE,Salmon et al. (2020),Picea,abies,NA,1609
Pinus sylvestris,CMAX,FALSE,TRUE,Salmon et al. (2020),Pinus,sylvestris,NA,1608
Pistacia lentiscus,CMAX,FALSE,TRUE,Galmes et al. (2007),Pistacia,lentiscus,NA,1623
Platycarya longipes,CMAX,FALSE,FALSE,Liu et al. (2010),Platycarya,longipes,NA,1617
Populus tremula,CMAX,FALSE,TRUE,Salmon et al. (2020),Populus,tremula,NA,1611
Pseudotsuga macrocarpa,CMAX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,macrocarpa,NA,1601
Pseudotsuga menziesii,CMAX,FALSE,TRUE,Grieu et al. (1988),Pseudotsuga,menziesii,NA,1600
Pteroceltis tatarinowii,CMAX,FALSE,FALSE,Liu et al. (2010),Pteroceltis,tatarinowii,NA,1618
Pyracantha fortuneana,CMAX,FALSE,FALSE,Liu et al. (2010),Pyracantha,fortuneana,NA,1619
Quercus coccifera,CMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,coccifera,NA,1605
Quercus ilex,CMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,ilex,NA,1606
Quercus ilex,CMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,ilex,NA,1614
Quercus petraea,CMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,petraea,NA,1612
Quercus pubescens,CMAX,FALSE,TRUE,Epron and Dreyer (1990),Quercus,pubescens,NA,1613
Quercus suber,CMAX,FALSE,TRUE,Peguero-Pina et al. (2009),Quercus,suber,NA,1607
Rosa cymosa,CMAX,FALSE,FALSE,Liu et al. (2010),Rosa,cymosa,NA,1620
Allocasuarina luehmannii,PHYDRO,FALSE,TRUE,Posch & Bennett (2009),Allocasuarina,luehmannii,NA,1598
