Species,scheme,dpsi,inst,source,genus,species,subsp,ID,Height.actual..m.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,taxon,Height.max..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,P50,b,acclimation,K.scale,alpha,gamma
Helianthus annuus,CGAIN,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622,NA,NA,NA,NA,NA,NA,Helianthus_annuus,2,-3.05,-1.87,-4.33688000815018,42.25,-3.049999998201522,3.1761650031481286,TRUE,3.997991568402501,0.1589629276994599,11.624012539379166
Helianthus annuus,CGAIN,FALSE,TRUE,Tezara et al. (2008),Helianthus,annuus,NA,1622,NA,NA,NA,NA,NA,NA,Helianthus_annuus,2,-3.05,-1.87,-4.33688000815018,42.25,-3.049999998201522,3.1761650031481286,FALSE,3.997991568402501,NA,11.624012539379166
